Rank,Model,Type,Accuracy,Precision,Recall,F1 Score,AUC-ROC,Time (s)
1,Logistic Regression,Tabular (2-class),0.9375,0.9427083333333334,0.9375,0.9353864734299516,0.9520202020202021,0.014569520950317383
2,XGBoost,Tabular (2-class),0.9375,0.9427083333333334,0.9375,0.9353864734299516,0.983838383838384,0.6445403099060059
3,ResNet-50,CNN (2-class),0.8969072164948454,0.9031592949783838,0.8969072164948454,0.8984204154951578,0.9594330400782014,255.17506909370422
4,MLP,Tabular (2-class),0.8854166666666666,0.8850352112676058,0.8854166666666666,0.8822992700729927,0.8969696969696971,0.33553123474121094
5,EfficientNet-B0,CNN (2-class),0.8762886597938144,0.879051468291159,0.8762886597938144,0.8772700237906425,0.9535679374389051,220.73210883140564
6,VGG-16,CNN (2-class),0.865979381443299,0.8672829103885805,0.865979381443299,0.8665315080676691,0.9486803519061584,225.31967067718506
7,MobileNetV2,CNN (2-class),0.8556701030927835,0.8556701030927835,0.8556701030927835,0.8556701030927835,0.9486803519061584,212.577250957489
8,ResNet-50,CNN (3-class),0.8461538461538461,0.8610986154845803,0.8461538461538461,0.8485781904056385,0.9530897720568698,303.851037979126
9,EfficientNet-B0,CNN (3-class),0.8290598290598291,0.8631843154389572,0.8290598290598291,0.8341517474361758,0.9373072115608114,285.1468722820282
10,Random Forest,Tabular (2-class),0.8333333333333334,0.8296703296703297,0.8333333333333334,0.8298319327731093,0.8901515151515152,0.8259854316711426
11,SVM (RBF),Tabular (2-class),0.8229166666666666,0.8591867469879517,0.8229166666666666,0.7980138910566569,0.9555555555555555,0.05169105529785156
12,VGG-16,CNN (3-class),0.7777777777777778,0.8038504955776363,0.7777777777777778,0.7811087967950713,0.9201765910059874,115.86561465263367
13,Custom-CNN,CNN (2-class),0.7731958762886598,0.8023815510614606,0.7731958762886598,0.7796509116857265,0.8572825024437927,202.35180234909058
14,MobileNetV2,CNN (3-class),0.7777777777777778,0.8104575163398693,0.7777777777777778,0.7788735481043174,0.9391437329511145,255.900053024292
15,Custom-CNN,CNN (3-class),0.27350427350427353,0.1221001221001221,0.27350427350427353,0.16818782776229588,0.6681482831510331,82.5531256198883
